BattSchedule_MW,SOC_percent,EnergyPriceDA_€perMWh,EnergyProfit_€,FCRCapacity,FCRPrice_€perMW,FCRRev_€,aFRR_UpCapacity,aFRR_UpPrice_€perMW,aFRR_UpRev_€,aFRR_DownCapacity,aFRR_DownPrice_€perMW,aFRR_DownRev_€,CapacityObligation
0.75,0.50,39.91,6.90,0.25,28.72,1.65,0.00,4.72,0.00,0.50,21.32,2.67,0.00
0.00,0.13,-0.04,-0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.13,-9.01,-0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
-0.50,0.13,-29.91,3.74,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.36,25.28,0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
-0.24,0.36,-24.91,1.51,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.47,-0.07,-0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.47,-0.08,-0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.47,-0.05,-0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.47,-0.06,-0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.47,-0.04,-0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.46,-0.42,-0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.46,22.40,0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.46,-0.08,-0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
-0.50,0.46,-32.41,4.05,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.69,5.08,0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.69,-0.09,-0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.69,-0.09,-0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.69,-8.63,-0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.69,-0.08,-0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.69,-0.04,-0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.69,-22.21,-0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.69,-0.02,-0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.69,14.91,0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.69,14.91,0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.69,0.00,0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.69,-0.05,-0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.69,-22.75,-0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
-0.50,0.69,-44.90,5.61,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.92,-4.95,-0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.92,-0.09,-0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.75,0.92,49.90,8.63,0.25,26.12,1.51,0.00,4.68,0.00,0.50,19.76,2.47,0.00
0.00,0.54,-0.07,-0.00,0.25,17.20,0.99,0.25,6.32,0.36,0.50,13.08,1.64,0.00
0.00,0.54,-0.06,-0.00,0.25,17.20,0.99,0.25,6.32,0.36,0.50,13.08,1.64,0.00
0.00,0.54,-9.91,-0.00,0.25,17.20,0.99,0.25,6.32,0.36,0.50,13.08,1.64,0.00
0.00,0.54,-4.68,-0.00,0.25,17.20,0.99,0.25,6.32,0.36,0.50,13.08,1.64,0.00
0.00,0.54,-14.92,-0.00,0.25,17.20,0.99,0.25,6.32,0.36,0.50,13.08,1.64,0.00
0.00,0.54,-14.92,-0.00,0.25,17.20,0.99,0.25,6.32,0.36,0.50,13.08,1.64,0.00
0.00,0.54,-0.10,-0.00,0.25,17.20,0.99,0.25,6.32,0.36,0.50,13.08,1.64,0.00
0.00,0.54,11.62,0.00,0.25,17.20,0.99,0.25,6.32,0.36,0.50,13.08,1.64,0.00
0.00,0.54,-17.44,-0.00,0.25,17.20,0.99,0.25,6.32,0.36,0.50,13.08,1.64,0.00
-0.50,0.54,-19.91,2.49,0.25,17.20,0.99,0.25,6.32,0.36,0.50,13.08,1.64,0.00
0.00,0.77,13.18,0.00,0.25,17.20,0.99,0.25,6.32,0.36,0.50,13.08,1.64,0.00
0.00,0.77,-0.01,-0.00,0.25,17.20,0.99,0.25,6.32,0.36,0.50,13.08,1.64,0.00
0.00,0.77,8.89,0.00,0.25,17.20,0.99,0.25,6.32,0.36,0.50,13.08,1.64,0.00
0.00,0.77,-0.10,-0.00,0.25,17.20,0.99,0.25,6.32,0.36,0.50,13.08,1.64,0.00
0.00,0.77,-17.41,-0.00,0.25,17.20,0.99,0.25,6.32,0.36,0.50,13.08,1.64,0.00
0.00,0.77,-17.42,-0.00,0.25,17.20,0.99,0.25,6.32,0.36,0.50,13.08,1.64,0.00
0.00,0.77,-7.20,-0.00,0.25,19.40,1.12,0.25,4.12,0.24,0.50,15.04,1.88,0.00
0.00,0.77,-0.07,-0.00,0.25,19.40,1.12,0.25,4.12,0.24,0.50,15.04,1.88,0.00
0.00,0.77,-0.07,-0.00,0.25,19.40,1.12,0.25,4.12,0.24,0.50,15.04,1.88,0.00
0.00,0.76,-17.42,-0.00,0.25,19.40,1.12,0.25,4.12,0.24,0.50,15.04,1.88,0.00
-0.47,0.76,-19.90,2.32,0.25,19.40,1.12,0.25,4.12,0.24,0.50,15.04,1.88,0.00
0.00,0.98,-7.44,-0.00,0.25,19.40,1.12,0.25,4.12,0.24,0.50,15.04,1.88,0.00
0.00,0.98,-0.07,-0.00,0.25,19.40,1.12,0.25,4.12,0.24,0.50,15.04,1.88,0.00
0.00,0.98,-0.07,-0.00,0.25,19.40,1.12,0.25,4.12,0.24,0.50,15.04,1.88,0.00
