BattSchedule_MW,SOC_percent,EnergyPriceDA_€perMWh,EnergyProfit_€,FCRCapacity,FCRPrice_€perMW,FCRRev_€,aFRR_UpCapacity,aFRR_UpPrice_€perMW,aFRR_UpRev_€,aFRR_DownCapacity,aFRR_DownPrice_€perMW,aFRR_DownRev_€,CapacityObligation
0.75,0.50,39.91,6.90,0.25,28.72,1.65,0.00,4.72,0.00,0.50,21.32,2.67,0.00
0.00,0.41,-0.04,-0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.41,-9.01,-0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
-0.50,0.41,-29.91,3.74,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.50,0.46,25.28,2.91,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
-0.50,0.40,-24.91,3.11,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.46,-0.07,-0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.46,-0.08,-0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.46,-0.05,-0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.46,-0.06,-0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.46,-0.04,-0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.46,-0.42,-0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.50,0.46,22.40,2.58,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.40,-0.08,-0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
-0.50,0.40,-32.41,4.05,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.45,5.08,0.00,0.25,28.72,1.65,0.25,4.72,0.27,0.50,21.32,2.67,0.00
0.00,0.45,-0.09,-0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.45,-0.09,-0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.45,-8.63,-0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.45,-0.08,-0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.45,-0.04,-0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
-0.50,0.45,-22.21,2.78,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.51,-0.02,-0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.51,14.91,0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.51,14.91,0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.51,0.00,0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
0.00,0.51,-0.05,-0.00,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
-0.50,0.51,-22.75,2.84,0.25,26.12,1.51,0.25,4.68,0.27,0.50,19.76,2.47,0.00
-1.00,0.57,-44.90,11.22,0.25,26.12,1.51,0.25,4.68,0.27,-0.00,19.76,-0.00,0.00
