BattSchedule_MW,SOC_percent,EnergyPriceDA_€perMWh,EnergyProfit_€,FCRCapacity,FCRPrice_€perMW,FCRRev_€,aFRR_UpCapacity,aFRR_UpPrice_€perMW,aFRR_UpRev_€,aFRR_DownCapacity,aFRR_DownPrice_€perMW,aFRR_DownRev_€,CapacityObligation
0.00,0.50,75.01,0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.50,-29.95,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
-0.04,0.50,-29.98,0.29,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
-0.50,0.51,-30.00,3.75,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.62,26.81,0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.62,-29.92,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.62,-29.94,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.62,-29.95,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.62,-29.92,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.62,-29.93,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.62,-29.94,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.62,-29.94,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.62,-29.92,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.62,-29.93,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.62,-29.94,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.62,-29.94,-0.00,0.25,34.84,2.01,0.25,2.08,0.12,0.50,30.08,3.76,0.00
0.00,0.62,-29.90,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.62,-29.93,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.62,-29.93,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.62,-29.94,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.62,0.84,0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.62,-29.92,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.62,-29.92,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.62,-29.93,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.62,11.73,0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.62,-29.91,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.62,-29.91,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.62,-29.91,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.62,-29.90,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.62,-29.90,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.62,-29.90,-0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
0.00,0.62,17.70,0.00,0.25,35.32,2.04,0.25,2.80,0.16,0.50,29.12,3.64,0.00
-0.50,0.62,-30.00,3.75,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.73,-29.90,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.73,-29.90,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.73,5.21,0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
-0.50,0.73,-30.00,3.75,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.85,-29.90,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.85,-29.90,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.85,91.99,0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.84,-29.90,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.84,-29.90,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.84,-29.90,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.84,91.35,0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
-0.50,0.84,-30.00,3.75,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.96,-29.90,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.96,-29.90,-0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.96,91.57,0.00,0.25,20.24,1.17,0.25,4.56,0.26,0.50,12.24,1.53,0.00
0.00,0.96,-29.90,-0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.75,0.96,125.69,21.73,0.25,17.84,1.03,0.00,2.12,0.00,0.50,11.12,1.39,0.00
0.00,0.77,-29.91,-0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.00,0.77,-29.92,-0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.75,0.77,136.41,23.58,0.25,17.84,1.03,0.00,2.12,0.00,0.50,11.12,1.39,0.00
-0.50,0.59,-29.94,3.74,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
-0.50,0.70,-29.95,3.74,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
-0.50,0.82,-29.97,3.75,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
1.00,0.93,168.30,38.79,-0.00,17.84,-0.00,0.00,2.12,0.00,0.50,11.12,1.39,0.00
-0.13,0.68,-29.93,0.96,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
-0.50,0.71,-29.93,3.74,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
-0.50,0.83,-29.93,3.74,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
1.00,0.94,271.20,62.51,-0.00,17.84,-0.00,0.00,2.12,0.00,0.50,11.12,1.39,0.00
0.00,0.70,-29.90,-0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.00,0.70,-29.90,-0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.00,0.69,-29.90,-0.00,0.25,17.84,1.03,0.25,2.12,0.12,0.50,11.12,1.39,0.00
0.00,0.69,-29.90,-0.00,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
0.00,0.69,-29.90,-0.00,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
0.00,0.69,-29.90,-0.00,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
1.00,0.69,279.26,64.37,-0.00,15.48,-0.00,0.00,9.28,0.00,0.50,8.76,1.09,0.00
-0.50,0.45,-30.00,3.75,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
-0.50,0.56,-30.00,3.75,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
0.00,0.68,-29.90,-0.00,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
1.00,0.68,480.14,110.67,-0.00,15.48,-0.00,0.00,9.28,0.00,0.00,8.76,0.00,0.00
-0.50,0.43,-30.00,3.75,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
0.00,0.54,-29.90,-0.00,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
0.00,0.54,-29.90,-0.00,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
1.00,0.54,499.90,115.22,-0.00,15.48,-0.00,0.00,9.28,0.00,0.00,8.76,0.00,0.00
-0.33,0.29,-29.90,2.48,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
-0.50,0.37,-29.90,3.74,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
1.00,0.48,376.56,86.79,-0.00,15.48,-0.00,0.00,9.28,0.00,0.00,8.76,0.00,0.00
-0.50,0.23,-29.90,3.74,0.25,15.48,0.89,0.25,9.28,0.53,0.50,8.76,1.09,0.00
1.00,0.35,277.06,63.86,-0.00,14.88,-0.00,0.00,7.44,0.00,0.50,11.96,1.50,0.00
-0.08,0.10,-29.90,0.56,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
-0.50,0.12,-30.00,3.75,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
-0.50,0.23,-30.00,3.75,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
1.00,0.35,253.71,58.48,-0.00,14.88,-0.00,0.00,7.44,0.00,0.50,11.96,1.50,0.00
-0.08,0.10,-29.90,0.56,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
-0.50,0.12,-29.90,3.74,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
-0.50,0.23,-29.90,3.74,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
1.00,0.35,219.70,50.64,-0.00,14.88,-0.00,0.00,7.44,0.00,0.50,11.96,1.50,0.00
-0.08,0.10,-29.92,0.56,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
-0.50,0.12,-29.94,3.74,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
-0.50,0.23,-29.95,3.74,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
1.00,0.35,184.69,42.57,-0.00,14.88,-0.00,0.00,7.44,0.00,0.50,11.96,1.50,0.00
-0.00,0.10,-29.94,0.01,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
-0.31,0.10,-29.96,2.33,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
-0.50,0.17,-29.98,3.75,0.25,14.88,0.86,0.25,7.44,0.43,0.50,11.96,1.50,0.00
0.75,0.29,149.91,25.91,0.25,28.00,1.61,0.00,2.28,0.00,0.50,27.24,3.40,0.00
0.00,0.10,-29.95,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
-0.00,0.10,-29.97,0.01,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
-0.50,0.10,-29.99,3.75,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.22,109.25,0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.21,-29.92,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.21,-29.93,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.21,-29.94,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.21,94.88,0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.21,-29.91,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.21,-29.90,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.21,-29.90,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.21,-29.91,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.21,-29.92,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.21,-29.92,-0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
0.00,0.21,96.35,0.00,0.25,28.00,1.61,0.25,2.28,0.13,0.50,27.24,3.40,0.00
-0.50,0.21,-53.12,6.64,0.25,23.64,1.36,0.25,3.84,0.22,0.50,25.52,3.19,0.00
-0.50,0.33,-30.00,3.75,0.25,23.64,1.36,0.25,3.84,0.22,0.50,25.52,3.19,0.00
0.00,0.44,-29.97,-0.00,0.25,23.64,1.36,0.25,3.84,0.22,0.50,25.52,3.19,0.00
1.00,0.44,161.08,37.13,-0.00,23.64,-0.00,0.00,3.84,0.00,0.50,25.52,3.19,0.00
